# N X AER AER'
118 -1.562500e-02 0.000000e+00 0.000000e+00
119 -1.406250e-02 0.000000e+00 0.000000e+00
120 -1.250000e-02 0.000000e+00 0.000000e+00
121 -1.093750e-02 0.000000e+00 0.000000e+00
122 -9.375000e-03 0.000000e+00 0.000000e+00
123 -7.812500e-03 0.000000e+00 0.000000e+00
124 -6.250000e-03 0.000000e+00 0.000000e+00
125 -4.687500e-03 0.000000e+00 0.000000e+00
126 -3.125000e-03 0.000000e+00 0.000000e+00
127 -1.562500e-03 0.000000e+00 0.000000e+00
128 -4.601354e-16 0.000000e+00 0.000000e+00
129 1.562500e-03 0.000000e+00 0.000000e+00
130 3.125000e-03 0.000000e+00 0.000000e+00
131 4.687500e-03 0.000000e+00 0.000000e+00
132 6.250000e-03 0.000000e+00 0.000000e+00
133 7.812500e-03 0.000000e+00 0.000000e+00
134 9.375000e-03 0.000000e+00 0.000000e+00
135 1.093750e-02 0.000000e+00 0.000000e+00
136 1.250000e-02 0.000000e+00 0.000000e+00
137 1.406250e-02 0.000000e+00 0.000000e+00
138 1.562500e-02 0.000000e+00 0.000000e+00
139 1.718750e-02 0.000000e+00 0.000000e+00
140 1.875000e-02 0.000000e+00 0.000000e+00
141 2.031250e-02 0.000000e+00 0.000000e+00
142 2.187500e-02 0.000000e+00 0.000000e+00
143 2.343750e-02 0.000000e+00 0.000000e+00
144 2.500000e-02 0.000000e+00 0.000000e+00
145 2.656250e-02 0.000000e+00 0.000000e+00
146 2.812500e-02 0.000000e+00 0.000000e+00
147 2.968750e-02 0.000000e+00 0.000000e+00
148 3.125000e-02 0.000000e+00 0.000000e+00
149 3.281250e-02 0.000000e+00 0.000000e+00
150 3.437500e-02 0.000000e+00 0.000000e+00
151 3.593750e-02 0.000000e+00 0.000000e+00
152 3.750000e-02 0.000000e+00 0.000000e+00
153 3.906250e-02 0.000000e+00 0.000000e+00
154 4.062500e-02 0.000000e+00 0.000000e+00
155 4.218750e-02 0.000000e+00 0.000000e+00
156 4.375000e-02 0.000000e+00 0.000000e+00
157 4.531250e-02 0.000000e+00 0.000000e+00
158 4.687500e-02 0.000000e+00 0.000000e+00
159 4.843750e-02 0.000000e+00 0.000000e+00
160 5.000000e-02 0.000000e+00 0.000000e+00
161 5.156250e-02 0.000000e+00 0.000000e+00
162 5.312500e-02 0.000000e+00 0.000000e+00
163 5.468750e-02 0.000000e+00 0.000000e+00
164 5.625000e-02 0.000000e+00 0.000000e+00
165 5.781250e-02 0.000000e+00 0.000000e+00
166 5.937500e-02 0.000000e+00 0.000000e+00
167 6.093750e-02 0.000000e+00 0.000000e+00
168 6.250000e-02 0.000000e+00 0.000000e+00
169 6.406250e-02 0.000000e+00 0.000000e+00
170 6.562500e-02 0.000000e+00 0.000000e+00
171 6.718750e-02 0.000000e+00 0.000000e+00
172 6.875000e-02 0.000000e+00 0.000000e+00
173 7.031250e-02 0.000000e+00 0.000000e+00
174 7.187500e-02 0.000000e+00 0.000000e+00
175 7.343750e-02 0.000000e+00 0.000000e+00
176 7.500000e-02 0.000000e+00 0.000000e+00
177 7.656250e-02 0.000000e+00 0.000000e+00
178 7.812500e-02 0.000000e+00 0.000000e+00
179 7.968750e-02 0.000000e+00 0.000000e+00
180 8.125000e-02 0.000000e+00 0.000000e+00
181 8.281250e-02 0.000000e+00 0.000000e+00
182 8.437500e-02 0.000000e+00 0.000000e+00
183 8.593750e-02 0.000000e+00 0.000000e+00
184 8.750000e-02 0.000000e+00 0.000000e+00
185 8.906250e-02 0.000000e+00 0.000000e+00
186 9.062500e-02 0.000000e+00 0.000000e+00
187 9.218750e-02 0.000000e+00 0.000000e+00
188 9.375000e-02 0.000000e+00 0.000000e+00
189 9.531250e-02 0.000000e+00 0.000000e+00
190 9.687500e-02 0.000000e+00 0.000000e+00
191 9.843750e-02 0.000000e+00 0.000000e+00
192 1.000000e-01 0.000000e+00 0.000000e+00
193 1.015625e-01 0.000000e+00 0.000000e+00
194 1.031250e-01 0.000000e+00 0.000000e+00
195 1.046875e-01 0.000000e+00 0.000000e+00
196 1.062500e-01 0.000000e+00 0.000000e+00
197 1.078125e-01 0.000000e+00 0.000000e+00
198 1.093750e-01 0.000000e+00 0.000000e+00
199 1.109375e-01 0.000000e+00 0.000000e+00
200 1.125000e-01 0.000000e+00 0.000000e+00
201 1.140625e-01 0.000000e+00 0.000000e+00
202 1.156250e-01 0.000000e+00 0.000000e+00
203 1.171875e-01 0.000000e+00 0.000000e+00
204 1.187500e-01 0.000000e+00 0.000000e+00
205 1.203125e-01 0.000000e+00 0.000000e+00
206 1.218750e-01 0.000000e+00 0.000000e+00
207 1.234375e-01 0.000000e+00 0.000000e+00
208 1.250000e-01 0.000000e+00 0.000000e+00
209 1.265625e-01 0.000000e+00 0.000000e+00
210 1.281250e-01 0.000000e+00 0.000000e+00
211 1.296875e-01 0.000000e+00 0.000000e+00
212 1.312500e-01 0.000000e+00 0.000000e+00
213 1.328125e-01 0.000000e+00 0.000000e+00
214 1.343750e-01 0.000000e+00 0.000000e+00
215 1.359375e-01 0.000000e+00 0.000000e+00
216 1.375000e-01 0.000000e+00 0.000000e+00
217 1.390625e-01 0.000000e+00 0.000000e+00
218 1.406250e-01 0.000000e+00 0.000000e+00
219 1.421875e-01 0.000000e+00 0.000000e+00
220 1.437500e-01 0.000000e+00 0.000000e+00
221 1.453125e-01 0.000000e+00 0.000000e+00
222 1.468750e-01 0.000000e+00 0.000000e+00
223 1.484375e-01 0.000000e+00 0.000000e+00
224 1.500000e-01 0.000000e+00 0.000000e+00
225 1.515625e-01 0.000000e+00 0.000000e+00
226 1.531250e-01 0.000000e+00 0.000000e+00
227 1.546875e-01 0.000000e+00 0.000000e+00
228 1.562500e-01 0.000000e+00 0.000000e+00
229 1.578125e-01 0.000000e+00 0.000000e+00
230 1.593750e-01 0.000000e+00 0.000000e+00
231 1.609375e-01 0.000000e+00 0.000000e+00
232 1.625000e-01 0.000000e+00 0.000000e+00
233 1.640625e-01 0.000000e+00 0.000000e+00
